year,Principal gender equality,Principal all climate,Principal disability,region_name,usd_disbursement_deflated
2021,TRUE,FALSE,FALSE,South America,176.800038
2021,FALSE,TRUE,FALSE,Oceania,254.09389
2021,FALSE,FALSE,FALSE,Caribbean & Central America,4751.74989500004
2021,FALSE,TRUE,FALSE,South America,1010.719537
2021,TRUE,FALSE,FALSE,Far East Asia,223.44718
2021,FALSE,FALSE,TRUE,South America,41.216504
2021,FALSE,FALSE,FALSE,Oceania,2633.56180299999
2021,TRUE,FALSE,TRUE,South & Central Asia,16.659787
2021,FALSE,FALSE,TRUE,Middle East,69.607832
2021,TRUE,FALSE,FALSE,Caribbean & Central America,153.72586
2021,TRUE,FALSE,TRUE,Middle East,19.458521
2021,FALSE,TRUE,FALSE,Europe,456.839996
2021,TRUE,FALSE,FALSE,Oceania,70.937169
2021,TRUE,TRUE,FALSE,South & Central Asia,16.483848
2021,TRUE,TRUE,FALSE,Far East Asia,16.938238
2021,TRUE,TRUE,FALSE,Europe,51.146144
2021,TRUE,FALSE,TRUE,Far East Asia,11.059875
2021,FALSE,TRUE,FALSE,Middle East,654.140329
2021,FALSE,FALSE,TRUE,Caribbean & Central America,12.514904
2021,TRUE,TRUE,FALSE,Middle East,14.060263
2021,TRUE,TRUE,FALSE,Caribbean & Central America,49.928154
2021,TRUE,TRUE,FALSE,South America,2.61338
2021,TRUE,FALSE,TRUE,Caribbean & Central America,0.587443
2021,FALSE,FALSE,TRUE,Europe,24.726287
2021,FALSE,FALSE,TRUE,Oceania,3.379202
2021,TRUE,FALSE,TRUE,South America,1.146378
2021,TRUE,TRUE,TRUE,Caribbean & Central America,0.004159
2021,FALSE,TRUE,TRUE,Caribbean & Central America,0.230686
2021,TRUE,FALSE,TRUE,Oceania,0.232441
2021,TRUE,FALSE,TRUE,Europe,3.080015
2021,FALSE,TRUE,TRUE,South America,0.100265
2022,FALSE,FALSE,FALSE,Europe,34525.2579739999
2022,FALSE,FALSE,FALSE,Far East Asia,8729.09665999992
2022,FALSE,FALSE,FALSE,Middle East,18105.176114
2022,FALSE,FALSE,FALSE,South & Central Asia,21267.3703620001
2022,FALSE,FALSE,FALSE,Caribbean & Central America,6089.37495800001
2022,TRUE,FALSE,FALSE,Europe,200.477421
2022,FALSE,FALSE,FALSE,South America,4775.54334000002
2022,TRUE,FALSE,FALSE,Middle East,469.080652
2022,FALSE,TRUE,FALSE,South & Central Asia,6031.69901700002
2022,FALSE,FALSE,TRUE,South & Central Asia,51.16167
2022,FALSE,FALSE,TRUE,Far East Asia,49.404519
2022,FALSE,FALSE,TRUE,Europe,142.047896
2022,FALSE,TRUE,FALSE,Europe,577.184593
2022,TRUE,FALSE,FALSE,South & Central Asia,745.119799
2022,TRUE,FALSE,FALSE,Caribbean & Central America,189.089961
2022,TRUE,FALSE,FALSE,Far East Asia,158.909705
2022,FALSE,FALSE,TRUE,Middle East,58.19839
2022,FALSE,TRUE,FALSE,Far East Asia,2897.001932
2022,FALSE,TRUE,FALSE,South America,1364.78764
2022,FALSE,TRUE,FALSE,Caribbean & Central America,817.243696999999
2022,FALSE,TRUE,TRUE,Far East Asia,0.189294
2022,FALSE,TRUE,FALSE,Oceania,421.009407
2022,TRUE,FALSE,FALSE,South America,160.259368
2022,TRUE,TRUE,FALSE,Far East Asia,8.68522
2022,TRUE,TRUE,FALSE,South & Central Asia,23.739721
2022,TRUE,FALSE,TRUE,Europe,22.685381
2022,FALSE,FALSE,FALSE,Oceania,2109.594937
2022,TRUE,FALSE,FALSE,Oceania,59.819874
2022,TRUE,TRUE,FALSE,Europe,42.105482
2022,FALSE,TRUE,FALSE,Middle East,456.152232
2022,TRUE,FALSE,TRUE,Middle East,11.578029
2022,TRUE,FALSE,TRUE,South & Central Asia,14.68177
2022,FALSE,FALSE,TRUE,South America,10.554474
2022,TRUE,FALSE,TRUE,Far East Asia,14.902225
2022,TRUE,TRUE,FALSE,Caribbean & Central America,14.249968
2022,FALSE,TRUE,TRUE,Middle East,0.077077
2022,FALSE,FALSE,TRUE,Oceania,2.703258
2022,TRUE,FALSE,TRUE,Oceania,0.012676
2022,FALSE,FALSE,TRUE,Caribbean & Central America,8.242415
2022,TRUE,TRUE,TRUE,South & Central Asia,0.002707
2022,FALSE,TRUE,TRUE,Caribbean & Central America,0.023078
2022,TRUE,TRUE,FALSE,South America,3.942193
2022,TRUE,FALSE,TRUE,Caribbean & Central America,3.389031
2022,TRUE,TRUE,FALSE,Middle East,3.598806
2022,TRUE,FALSE,TRUE,South America,0.504252
2022,TRUE,TRUE,TRUE,South America,0.05153
2022,TRUE,TRUE,TRUE,Caribbean & Central America,0.051527
2020,FALSE,TRUE,TRUE,Caribbean & Central America,0.271734
2021,TRUE,TRUE,FALSE,Oceania,6.805582
2021,FALSE,TRUE,TRUE,South & Central Asia,0.009964
2022,TRUE,TRUE,FALSE,Oceania,7.325946
2022,FALSE,TRUE,TRUE,South America,0.069121
2022,FALSE,TRUE,TRUE,South & Central Asia,0.032759
